Date,Confirmed Cases,Date,Confirmed Deaths,Date,Prob and Suspected Cases,Date,Prob and Suspected Deaths,Date,Probable Cases,Date,Probable Deaths,Date,Suspected Cases
2014-09-26,876.0,2014-09-26,481.0,2014-09-26,1074.0,2014-09-26,648.0,2014-09-26,162.0,2014-09-26,162.0,2014-09-26,36.0
2014-09-24,832.0,2014-09-24,468.0,2014-09-24,1022.0,2014-09-24,635.0,2014-09-24,162.0,2014-09-24,162.0,2014-09-24,28.0
2014-09-22,818.0,2014-09-22,465.0,2014-09-22,1008.0,2014-09-22,632.0,2014-09-22,162.0,2014-09-22,162.0,2014-09-22,28.0
2014-09-18,750.0,2014-09-18,435.0,2014-09-18,942.0,2014-09-18,601.0,2014-09-18,162.0,2014-09-18,161.0,2014-09-18,30.0
2014-09-16,743.0,2014-09-16,429.0,2014-09-16,936.0,2014-09-16,595.0,2014-09-16,162.0,2014-09-16,162.0,2014-09-16,31.0
2014-09-12,678.0,2014-09-12,403.0,2014-09-12,861.0,2014-09-12,557.0,2014-09-12,151.0,2014-09-12,150.0,2014-09-12,32.0
2014-09-08,664.0,2014-09-08,400.0,2014-09-08,862.0,2014-09-08,555.0,2014-09-08,151.0,2014-09-08,151.0,2014-09-08,47.0
2014-09-05,604.0,2014-09-05,362.0,2014-09-05,812.0,2014-09-05,517.0,2014-09-05,152.0,2014-09-05,152.0,2014-09-05,56.0
2014-08-29,482.0,2014-08-29,287.0,2014-08-29,648.0,2014-08-29,430.0,2014-08-29,141.0,2014-08-29,141.0,2014-08-29,25.0
2015-03-11,2871.0,2015-03-11,1778.0,2015-03-11,3285.0,2015-03-11,2170.0,2015-03-11,392.0,2015-03-11,392.0,2015-03-11,22.0
2015-03-12,2901.0,2015-03-12,1792.0,2015-03-12,3330.0,2015-03-12,2187.0,2015-03-12,395.0,2015-03-12,395.0,2015-03-12,34.0
2015-03-13,2911.0,2015-03-13,1797.0,2015-03-13,3331.0,2015-03-13,2192.0,2015-03-13,395.0,2015-03-13,395.0,2015-03-13,25.0
2015-03-16,2957.0,2015-03-16,1821.0,2015-03-16,3373.0,2015-03-16,2216.0,2015-03-16,395.0,2015-03-16,395.0,2015-03-16,21.0
2015-03-17,2966.0,2015-03-17,1829.0,2015-03-17,3389.0,2015-03-17,2224.0,2015-03-17,395.0,2015-03-17,395.0,2015-03-17,28.0
2015-03-18,2966.0,2015-03-18,1829.0,2015-03-18,3389.0,2015-03-18,2224.0,2015-03-18,395.0,2015-03-18,395.0,2015-03-18,28.0
2015-03-20,2988.0,2015-03-20,1846.0,2015-03-20,3404.0,2015-03-20,2241.0,2015-03-20,395.0,2015-03-20,395.0,2015-03-20,21.0
2015-03-23,3007.0,2015-03-23,1863.0,2015-03-23,3420.0,2015-03-23,2261.0,2015-03-23,398.0,2015-03-23,398.0,2015-03-23,15.0
2015-03-24,3011.0,2015-03-24,1865.0,2015-03-24,3429.0,2015-03-24,2263.0,2015-03-24,398.0,2015-03-24,398.0,2015-03-24,20.0
2015-03-25,3011.0,2015-03-25,1865.0,2015-03-25,3429.0,2015-03-25,2263.0,2015-03-25,398.0,2015-03-25,398.0,2015-03-25,20.0
2015-03-26,3032.0,2015-03-26,1875.0,2015-03-26,3459.0,2015-03-26,2273.0,2015-03-26,398.0,2015-03-26,398.0,2015-03-26,29.0
2015-03-27,3042.0,2015-03-27,1878.0,2015-03-27,3466.0,2015-03-27,2276.0,2015-03-27,398.0,2015-03-27,398.0,2015-03-27,26.0
2015-04-07,3089.0,2015-04-07,1919.0,2015-04-07,3515.0,2015-04-07,2333.0,2015-04-07,414.0,2015-04-07,414.0,2015-04-07,12.0
2015-04-09,3093.0,2015-04-09,1921.0,2015-04-09,3515.0,2015-04-09,2335.0,2015-04-09,414.0,2015-04-09,414.0,2015-04-09,8.0
2015-04-13,3112.0,2015-04-13,1928.0,2015-04-13,3541.0,2015-04-13,2342.0,2015-04-13,414.0,2015-04-13,414.0,2015-04-13,15.0
2015-04-14,3117.0,2015-04-14,1932.0,2015-04-14,3548.0,2015-04-14,2346.0,2015-04-14,414.0,2015-04-14,414.0,2015-04-14,17.0
2015-04-15,3117.0,2015-04-15,1932.0,2015-04-15,3548.0,2015-04-15,2346.0,2015-04-15,414.0,2015-04-15,414.0,2015-04-15,17.0
2015-04-16,3124.0,2015-04-16,1934.0,2015-04-16,3566.0,2015-04-16,2348.0,2015-04-16,414.0,2015-04-16,414.0,2015-04-16,28.0
2015-04-17,3126.0,2015-04-17,1937.0,2015-04-17,3569.0,2015-04-17,2351.0,2015-04-17,414.0,2015-04-17,414.0,2015-04-17,29.0
2015-04-20,3133.0,2015-04-20,1942.0,2015-04-20,3565.0,2015-04-20,2357.0,2015-04-20,415.0,2015-04-20,415.0,2015-04-20,17.0
2015-04-21,3136.0,2015-04-21,1943.0,2015-04-21,3565.0,2015-04-21,2358.0,2015-04-21,415.0,2015-04-21,415.0,2015-04-21,14.0
2015-04-22,3136.0,2015-04-22,1943.0,2015-04-22,3565.0,2015-04-22,2358.0,2015-04-22,415.0,2015-04-22,415.0,2015-04-22,14.0
2015-04-23,3144.0,2015-04-23,1947.0,2015-04-23,3568.0,2015-04-23,2362.0,2015-04-23,415.0,2015-04-23,415.0,2015-04-23,9.0
2015-04-24,3145.0,2015-04-24,1950.0,2015-04-24,3576.0,2015-04-24,2365.0,2015-04-24,415.0,2015-04-24,415.0,2015-04-24,16.0
2015-04-27,3154.0,2015-04-27,1959.0,2015-04-27,3585.0,2015-04-27,2374.0,2015-04-27,415.0,2015-04-27,415.0,2015-04-27,16.0
2015-04-28,3158.0,2015-04-28,1962.0,2015-04-28,3584.0,2015-04-28,2377.0,2015-04-28,415.0,2015-04-28,415.0,2015-04-28,11.0
2015-04-30,3159.0,2015-04-30,1966.0,2015-04-30,3581.0,2015-04-30,2381.0,2015-04-30,415.0,2015-04-30,415.0,2015-04-30,7.0
2015-05-01,3161.0,2015-05-01,1968.0,2015-05-01,3578.0,2015-05-01,2383.0,2015-05-01,415.0,2015-05-01,415.0,2015-05-01,2.0
2015-05-04,3163.0,2015-05-04,1970.0,2015-05-04,3591.0,2015-05-04,2385.0,2015-05-04,415.0,2015-05-04,415.0,2015-05-04,13.0
2015-05-05,3167.0,2015-05-05,1971.0,2015-05-05,3589.0,2015-05-05,2386.0,2015-05-05,415.0,2015-05-05,415.0,2015-05-05,7.0
2015-05-06,3167.0,2015-05-06,1971.0,2015-05-06,3589.0,2015-05-06,2386.0,2015-05-06,415.0,2015-05-06,415.0,2015-05-06,7.0
2015-05-07,3170.0,2015-05-07,1972.0,2015-05-07,3592.0,2015-05-07,2387.0,2015-05-07,415.0,2015-05-07,415.0,2015-05-07,7.0
2015-05-08,3170.0,2015-05-08,1972.0,2015-05-08,3592.0,2015-05-08,2387.0,2015-05-08,415.0,2015-05-08,415.0,2015-05-08,7.0
2015-05-11,3173.0,2015-05-11,1976.0,2015-05-11,3599.0,2015-05-11,2391.0,2015-05-11,415.0,2015-05-11,415.0,2015-05-11,11.0
2015-05-12,3174.0,2015-05-12,1977.0,2015-05-12,3597.0,2015-05-12,2392.0,2015-05-12,415.0,2015-05-12,415.0,2015-05-12,8.0
2015-05-13,3173.0,2015-05-13,1976.0,2015-05-13,3599.0,2015-05-13,2391.0,2015-05-13,415.0,2015-05-13,415.0,2015-05-13,11.0
2015-05-15,3189.0,2015-05-15,1982.0,2015-05-15,3619.0,2015-05-15,2401.0,2015-05-15,419.0,2015-05-15,419.0,2015-05-15,11.0
2015-05-14,3187.0,2015-05-14,1980.0,2015-05-14,3615.0,2015-05-14,2399.0,2015-05-14,419.0,2015-05-14,419.0,2015-05-14,9.0
2015-05-19,3201.0,2015-05-19,1988.0,2015-05-19,3635.0,2015-05-19,2407.0,2015-05-19,419.0,2015-05-19,419.0,2015-05-19,15.0
2015-05-18,3195.0,2015-05-18,1986.0,2015-05-18,3626.0,2015-05-18,2405.0,2015-05-18,419.0,2015-05-18,419.0,2015-05-18,12.0
2015-05-20,3201.0,2015-05-20,1988.0,2015-05-20,3635.0,2015-05-20,2407.0,2015-05-20,415.0,2015-05-20,419.0,2015-05-20,15.0
2015-05-21,3204.0,2015-05-21,1990.0,2015-05-21,3649.0,2015-05-21,2409.0,2015-05-21,419.0,2015-05-21,419.0,2015-05-21,26.0
2015-05-22,3205.0,2015-05-22,1993.0,2015-05-22,3647.0,2015-05-22,2412.0,2015-05-22,419.0,2015-05-22,419.0,2015-05-22,23.0
2015-05-26,3210.0,2015-05-26,2001.0,2015-05-26,3641.0,2015-05-26,2420.0,2015-05-26,419.0,2015-05-26,419.0,2015-05-26,12.0
2015-05-25,3208.0,2015-05-25,1999.0,2015-05-25,3640.0,2015-05-25,2418.0,2015-05-25,419.0,2015-05-25,419.0,2015-05-25,13.0
2015-05-27,3210.0,2015-05-27,2001.0,2015-05-27,3641.0,2015-05-27,2420.0,2015-05-27,419.0,2015-05-27,419.0,2015-05-27,12.0
2015-05-28,3214.0,2015-05-28,2004.0,2015-05-28,3639.0,2015-05-28,2423.0,2015-05-28,419.0,2015-05-28,419.0,2015-05-28,6.0
2015-05-29,3216.0,2015-05-29,2006.0,2015-05-29,3644.0,2015-05-29,2425.0,2015-05-29,419.0,2015-05-29,419.0,2015-05-29,9.0
2015-06-01,3220.0,2015-06-01,2009.0,2015-06-01,3653.0,2015-06-01,2428.0,2015-06-01,419.0,2015-06-01,419.0,2015-06-01,14.0
2015-06-02,3223.0,2015-06-02,2010.0,2015-06-02,3652.0,2015-06-02,2429.0,2015-06-02,419.0,2015-06-02,419.0,2015-06-02,10.0
2015-06-03,3223.0,2015-06-03,2010.0,2015-06-03,3652.0,2015-06-03,2429.0,2015-06-03,419.0,2015-06-03,419.0,2015-06-03,10.0
2015-06-04,3227.0,2015-06-04,2012.0,2015-06-04,3657.0,2015-06-04,2431.0,2015-06-04,419.0,2015-06-04,419.0,2015-06-04,11.0
2015-06-05,3228.0,2015-06-05,2012.0,2015-06-05,3664.0,2015-06-05,2431.0,2015-06-05,419.0,2015-06-05,419.0,2015-06-05,17.0
2015-06-08,3237.0,2015-06-08,2016.0,2015-06-08,3669.0,2015-06-08,2435.0,2015-06-08,419.0,2015-06-08,419.0,2015-06-08,13.0
2015-06-09,3239.0,2015-06-09,2018.0,2015-06-09,3670.0,2015-06-09,2437.0,2015-06-09,419.0,2015-06-09,419.0,2015-06-09,12.0
2015-06-10,3239.0,2015-06-10,2018.0,2015-06-10,3670.0,2015-06-10,2437.0,2015-06-10,419.0,2015-06-10,419.0,2015-06-10,12.0
2015-06-11,3243.0,2015-06-11,2021.0,2015-06-11,3674.0,2015-06-11,2440.0,2015-06-11,419.0,2015-06-11,419.0,2015-06-11,12.0
2015-06-12,3243.0,2015-06-12,2021.0,2015-06-12,3677.0,2015-06-12,2440.0,2015-06-12,419.0,2015-06-12,419.0,2015-06-12,15.0
2015-06-15,3249.0,2015-06-15,2024.0,2015-06-15,3677.0,2015-06-15,2443.0,2015-06-15,419.0,2015-06-15,419.0,2015-06-15,9.0
2015-06-16,3249.0,2015-06-16,2025.0,2015-06-16,3678.0,2015-06-16,2444.0,2015-06-16,419.0,2015-06-16,419.0,2015-06-16,10.0
2015-06-17,3245.0,2015-06-17,2025.0,2015-06-17,3674.0,2015-06-17,2444.0,2015-06-17,419.0,2015-06-17,419.0,2015-06-17,10.0
2015-06-18,3246.0,2015-06-18,2026.0,2015-06-18,3675.0,2015-06-18,2445.0,2015-06-18,419.0,2015-06-18,419.0,2015-06-18,10.0
2015-06-19,3247.0,2015-06-19,2027.0,2015-06-19,3674.0,2015-06-19,2446.0,2015-06-19,419.0,2015-06-19,419.0,2015-06-19,8.0
2015-06-22,3254.0,2015-06-22,2028.0,2015-06-22,3698.0,2015-06-22,2456.0,2015-06-22,428.0,2015-06-22,428.0,2015-06-22,16.0
2015-06-23,3257.0,2015-06-23,2030.0,2015-06-23,3718.0,2015-06-23,2473.0,2015-06-23,443.0,2015-06-23,443.0,2015-06-23,18.0
2015-06-24,3257.0,2015-06-24,2030.0,2015-06-24,3718.0,2015-06-24,2473.0,2015-06-24,443.0,2015-06-24,443.0,2015-06-24,18.0
2015-06-25,3264.0,2015-06-25,2037.0,2015-06-25,3718.0,2015-06-25,2480.0,2015-06-25,443.0,2015-06-25,443.0,2015-06-25,11.0
2015-06-26,3266.0,2015-06-26,2037.0,2015-06-26,3720.0,2015-06-26,2480.0,2015-06-26,443.0,2015-06-26,443.0,2015-06-26,11.0
2015-06-29,3268.0,2015-06-29,2039.0,2015-06-29,3724.0,2015-06-29,2482.0,2015-06-29,443.0,2015-06-29,443.0,2015-06-29,13.0
2015-06-30,3269.0,2015-06-30,2039.0,2015-06-30,3729.0,2015-06-30,2482.0,2015-06-30,443.0,2015-06-30,443.0,2015-06-30,17.0
2015-07-01,3269.0,2015-07-01,2039.0,2015-07-01,3729.0,2015-07-01,2482.0,2015-07-01,443.0,2015-07-01,443.0,2015-07-01,17.0
2015-07-02,3277.0,2015-07-02,2040.0,2015-07-02,3745.0,2015-07-02,2490.0,2015-07-02,450.0,2015-07-02,450.0,2015-07-02,18.0
2015-07-03,3279.0,2015-07-03,2042.0,2015-07-03,3750.0,2015-07-03,2492.0,2015-07-03,450.0,2015-07-03,450.0,2015-07-03,21.0
2015-07-06,3287.0,2015-07-06,2048.0,2015-07-06,3744.0,2015-07-06,2498.0,2015-07-06,450.0,2015-07-06,450.0,2015-07-06,7.0
2015-07-07,3287.0,2015-07-07,2049.0,2015-07-07,3748.0,2015-07-07,2499.0,2015-07-07,450.0,2015-07-07,450.0,2015-07-07,11.0
2015-07-08,3287.0,2015-07-08,2049.0,2015-07-08,3748.0,2015-07-08,2499.0,2015-07-08,450.0,2015-07-08,450.0,2015-07-08,11.0
2015-07-09,3290.0,2015-07-09,2055.0,2015-07-09,3744.0,2015-07-09,2505.0,2015-07-09,450.0,2015-07-09,450.0,2015-07-09,4.0
2015-07-10,3293.0,2015-07-10,2055.0,2015-07-10,3751.0,2015-07-10,2505.0,2015-07-10,450.0,2015-07-10,450.0,2015-07-10,8.0
2015-07-13,3299.0,2015-07-13,2056.0,2015-07-13,3754.0,2015-07-13,2506.0,2015-07-13,450.0,2015-07-13,450.0,2015-07-13,5.0
2015-07-14,3300.0,2015-07-14,2056.0,2015-07-14,3760.0,2015-07-14,2506.0,2015-07-14,450.0,2015-07-14,450.0,2015-07-14,10.0
2015-07-15,3300.0,2015-07-15,2056.0,2015-07-15,3760.0,2015-07-15,2506.0,2015-07-15,450.0,2015-07-15,450.0,2015-07-15,10.0
2015-07-16,3304.0,2015-07-16,2056.0,2015-07-16,3762.0,2015-07-16,2506.0,2015-07-16,450.0,2015-07-16,450.0,2015-07-16,8.0
2015-07-17,3310.0,2015-07-17,2059.0,2015-07-17,3770.0,2015-07-17,2509.0,2015-07-17,450.0,2015-07-17,450.0,2015-07-17,10.0
2015-07-20,3322.0,2015-07-20,2061.0,2015-07-20,3784.0,2015-07-20,2511.0,2015-07-20,450.0,2015-07-20,450.0,2015-07-20,12.0
2015-07-21,3322.0,2015-07-21,2062.0,2015-07-21,3783.0,2015-07-21,2512.0,2015-07-21,450.0,2015-07-21,450.0,2015-07-21,11.0
2015-07-22,3322.0,2015-07-22,2062.0,2015-07-22,3783.0,2015-07-22,2512.0,2015-07-22,450.0,2015-07-22,450.0,2015-07-22,11.0
2015-07-23,3325.0,2015-07-23,2066.0,2015-07-23,3788.0,2015-07-23,2516.0,2015-07-23,450.0,2015-07-23,450.0,2015-07-23,13.0
2015-07-24,3325.0,2015-07-24,2066.0,2015-07-24,3787.0,2015-07-24,2517.0,2015-07-24,451.0,2015-07-24,451.0,2015-07-24,11.0
2015-07-27,3325.0,2015-07-27,2068.0,2015-07-27,3792.0,2015-07-27,2519.0,2015-07-27,451.0,2015-07-27,451.0,2015-07-27,16.0
